# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
14 0.6 0.1 0.986897732614651 0.002947643066252311
14 0.7 0.1 0.989363703509451 0.0024857698318476082
14 0.8 0.1 0.9914402555894528 0.0020719594942342026
14 0.9 0.1 0.9931855137222791 0.0017037803461465626
14 1.0 0.1 0.994648001626597 0.0013786907954597934
14 1.1 0.1 0.9958681519065842 0.0010941398894052886
14 1.2 0.1 0.9968796124043331 0.0008476443808469261
14 1.3 0.1 0.9977103630752326 0.0006368445869529256
14 1.4 0.1 0.9983836622198908 0.0004595421293460115
14 1.5 0.1 0.9989188425156712 0.0003137228255479611
14 1.6 0.1 0.9993319770556782 0.00019756782922231332
14 1.7 0.1 0.9996364343171701 0.00010945577490143779
14 1.8 0.1 0.9998433391653555 4.795827850886713e-5
14 1.9 0.1 0.9999619549828532 1.1830737971777435e-5
14 2.0 0.1 1.0 0.0
14 2.1 0.1 0.9999639090017488 1.1550124319309898e-5
14 2.2 0.1 0.9998590498617713 4.570719016383023e-5
14 2.3 0.1 0.9996899028274215 0.00010182385103354208
14 2.4 0.1 0.9994602091526776 0.00017936414906779798
14 2.5 0.1 0.9991730945402525 0.0002778889449121102
14 2.6 0.1 0.998831171892109 0.0003970421972234973
14 2.7 0.1 0.9984366270605463 0.0005365382325710078
14 2.8 0.1 0.9979912906200081 0.0006961500764212565
14 2.9 0.1 0.99749669812378 0.0008756988646123492
14 3.0 0.1 0.9969541408524542 0.0010750443183499272
12 0.0 0.1 0.007384499884718006 0.010480652080442007
12 0.0001 0.1 0.9754383816894067 0.004379568653882291
12 0.001 0.1 0.9754752315011347 0.0043747918587003195
12 0.01 0.1 0.9758409323501042 0.004327200417701007
12 0.1 0.1 0.9792322177832629 0.0038689766282475075
12 0.2 0.1 0.9824888162248717 0.00339747712485581
12 0.3 0.1 0.9852823050497953 0.002964954011395994
12 0.4 0.1 0.9876793286599136 0.002570202240072123
12 0.5 0.1 0.9897364754962051 0.002211631635847866
12 0.6 0.1 0.9915016683958122 0.0018874131936166378
12 0.7 0.1 0.9930154079446092 0.0015955978977688504
12 0.8 0.1 0.9943118683132514 0.0013342098032335349
12 0.9 0.1 0.9954198522415906 0.0011013163253870218
12 1.0 0.1 0.9963636159071442 0.0008950790764413241
12 1.1 0.1 0.9971635763725624 0.0007137885445631946
12 1.2 0.1 0.9978369148821704 0.0005558856610746628
12 1.3 0.1 0.9983980889868904 0.000419972963371183
12 1.4 0.1 0.9988592656777998 0.0003048177012580648
12 1.5 0.1 0.9992306866429769 0.00020934888414936498
12 1.6 0.1 0.9995209755880443 0.00013264994056839767
12 1.7 0.1 0.9997373963777302 7.394836543519606e-5
12 1.8 0.1 0.9998860696238948 3.2603466561470325e-5
12 1.9 0.1 0.9999721542981178 8.093089633007632e-6
12 2.0 0.1 1.0 0.0
12 2.1 0.1 0.999973274670724 7.998428559927699e-6
12 2.2 0.1 0.9998950718028996 3.184114617856317e-5
12 2.3 0.1 0.9997680005564923 7.134731433534246e-5
12 2.4 0.1 0.9995942616384965 0.00012639126644172733
12 2.5 0.1 0.9993757113320915 0.00019689230178335476
12 2.6 0.1 0.9991139156601001 0.0002828055193226316
12 2.7 0.1 0.9988101963290501 0.00038411367876487146
