# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 sector to analyse the data collapse as function of effective parameters αδ.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, αδ, mean_r_statistic, std_error
 
N, hj, δ, αδ, mean_r_statistic, std_error
16 0.3 0.3 10.5 0.3877204874320793 0.00022304203580750232
16 0.3 0.3 11.0 0.3868092283982288 0.0002548937367443221
16 0.3 0.3 11.5 0.38699970363587144 0.0002448628414073075
16 0.3 0.3 12.0 0.3858467743459707 0.0002674059509409675
16 0.3 0.3 12.5 0.3858815698615345 0.0002709876502790062
16 0.3 0.3 13.0 0.3856474097614619 0.0002825759104787003
16 0.3 0.3 13.5 0.3851424342880422 0.0003099383831759694
16 0.3 0.3 14.0 0.38446099818031687 0.00031403034307478573
16 0.3 0.3 14.5 0.3844441435828883 0.0003326375761695019
16 0.3 0.3 15.0 0.38384476228525277 0.00035507717464935344
16 0.3 0.5 0.5 0.5301755140758785 8.552901141795951e-5
16 0.3 0.5 1.0 0.524593270048193 0.0003313830162928748
16 0.3 0.5 1.5 0.49943440751069657 0.000788039268151597
16 0.3 0.5 2.0 0.47247438941095976 0.0008592766912268718
16 0.3 0.5 2.5 0.45367886322467804 0.0007891894043809963
16 0.3 0.5 3.0 0.44146115208441206 0.0007506746598881292
16 0.3 0.5 3.5 0.42891600744324154 0.0006892757283317269
16 0.3 0.5 4.0 0.41937929795642837 0.00063431074846619
16 0.3 0.5 4.5 0.41153723073479104 0.0005496874823509993
16 0.3 0.5 5.0 0.4065780088197789 0.0004784166524217573
16 0.3 0.5 5.5 0.4017633466737168 0.0003970671314558165
16 0.3 0.5 6.0 0.3994557025809573 0.00037368270778406553
16 0.3 0.5 6.5 0.39651350634882976 0.000281282171704587
16 0.3 0.5 7.0 0.39481194357787414 0.000248359499034292
16 0.3 0.5 7.5 0.3930108414914462 0.00023150994574547837
16 0.3 0.5 8.0 0.3925212560681538 0.0002511788350944779
16 0.3 0.5 8.5 0.3911100163624121 0.00021613992322835996
16 0.3 0.5 9.0 0.39005720576395175 0.0002168084627757974
16 0.3 0.5 9.5 0.3894271965501909 0.00020106261344909762
16 0.3 0.5 10.0 0.3886635555462901 0.00020699570258798808
16 0.3 0.5 10.5 0.38792463269518357 0.00022042255436303297
16 0.3 0.5 11.0 0.38739900378798364 0.00023910656201790145
16 0.3 0.5 11.5 0.38700821530350477 0.0002504127040765802
16 0.3 0.5 12.0 0.3860365132406146 0.0002838824550108825
16 0.3 0.5 12.5 0.38590288106592174 0.0002638757237800946
16 0.3 0.5 13.0 0.3854441498086623 0.00031393526082453287
16 0.3 0.5 13.5 0.38542771109057733 0.00030464014682449826
16 0.3 0.5 14.0 0.38505102377416284 0.00028832726440628187
16 0.3 0.5 14.5 0.3845817499414129 0.00032139295058878134
16 0.3 0.5 15.0 0.3847803345340545 0.000324884448152326
16 0.3 0.8 0.5 0.5279930901797095 0.00010086282110096903
16 0.3 0.8 1.0 0.5103079677453521 0.0006536790406266237
16 0.3 0.8 1.5 0.4896342466196629 0.0008064526343001335
16 0.3 0.8 2.0 0.47282798386610847 0.000790241455193525
16 0.3 0.8 2.5 0.46042418189185996 0.0007662392591028818
16 0.3 0.8 3.0 0.4508162164116075 0.0007478524212116212
16 0.3 0.8 3.5 0.43780198676418053 0.0006215218535332099
16 0.3 0.8 4.0 0.427604786322881 0.0006256295471391561
16 0.3 0.8 4.5 0.41906834793906317 0.0005393512917562349
16 0.3 0.8 5.0 0.4117428004799642 0.0005460936686485857
16 0.3 0.8 5.5 0.40720377604124663 0.0004780945944311371
16 0.3 0.8 6.0 0.402629897829251 0.0004206433639918292
16 0.3 0.8 6.5 0.39944885420148973 0.00033411072607067893
16 0.3 0.8 7.0 0.3965200483187995 0.0002697057873006581
16 0.3 0.8 7.5 0.3944590911219325 0.0002540300949091734
16 0.3 0.8 8.0 0.39329049955140266 0.00024398645326916465
16 0.3 0.8 8.5 0.3917905308284297 0.00022309160469398002
16 0.3 0.8 9.0 0.39072449476421056 0.000236554143933713
16 0.3 0.8 9.5 0.3901035658763214 0.00020946818641779408
16 0.3 0.8 10.0 0.3889791249869183 0.0002064570660199504
16 0.3 0.8 10.5 0.38852141212170244 0.00022193778119267659
16 0.3 0.8 11.0 0.3874966207564464 0.0002456798196072427
16 0.3 0.8 11.5 0.38683390807435597 0.0002683374966365579
16 0.3 0.8 12.0 0.3867377889656464 0.0002592573362970146
16 0.3 0.8 12.5 0.38597156884544015 0.00028084242806785883
16 0.3 0.8 13.0 0.3860699424223337 0.00027579769668541014
16 0.3 0.8 13.5 0.3855792678884222 0.0002669026474526823
16 0.3 0.8 14.0 0.38506507438603765 0.000313029776313952
16 0.3 0.8 14.5 0.384733867891084 0.0003245138057459622
16 0.3 0.8 15.0 0.3847887184204533 0.00034054691943339227
16 0.3 1.0 0.5 0.5229056071084365 0.0002347414337420902
16 0.3 1.0 1.0 0.5053487659914774 0.0007466149812734219
16 0.3 1.0 1.5 0.4871906831691817 0.0008507604280006394
16 0.3 1.0 2.0 0.4737262897479318 0.0008096509397475264
16 0.3 1.0 2.5 0.463826446315948 0.00076038160472248
16 0.3 1.0 3.0 0.4540765476640135 0.0007123532782203729
