# This file contains the mean IPR and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 for this disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, -log2(IPR), std_error
10 0.8 0.0 0.2 5.420147200286727 0.007292228807712596
10 0.8 0.0 0.4 5.6763161940742215 0.005914649884893831
10 0.8 0.0 0.6 5.872096270309364 0.007790528764339738
10 0.8 0.0 0.8 5.895653171604824 0.008302517747371042
10 0.8 0.0 1.0 5.84329158415757 0.009037123057093999
10 0.8 0.0 1.2 5.762526956317773 0.009688315489861413
10 0.8 0.0 1.4 5.661080526490665 0.011640124014526
10 0.8 0.0 1.6 5.561936318046505 0.01373033127986785
10 0.8 0.0 1.8 5.48613941398381 0.015449521961986467
10 0.8 0.0 2.0 5.463746352949209 0.016810521708869642
10 0.8 0.0 2.2 5.433574078707224 0.018220043871845906
10 0.8 0.0 2.4 5.40638705843855 0.019181128826944126
10 0.8 0.0 2.6 5.425994390382428 0.019140848226168
10 0.8 0.0 2.8 5.424252074221155 0.019922774612339954
10 0.8 0.0 3.0 5.402728906153231 0.020081536324028898
10 0.8 0.1 0.0 4.813632212545217 0.0063291796295826715
10 0.8 0.1 0.2 5.433472951630906 0.007542660412599444
10 0.8 0.1 0.4 5.681423944401961 0.006117165988506756
10 0.8 0.1 0.6 5.862313985412253 0.00770065867901647
10 0.8 0.1 0.8 5.887441309373378 0.008318440243582892
10 0.8 0.1 1.0 5.852050138826404 0.00919215566499327
10 0.8 0.1 1.2 5.76864584046399 0.010228675602480827
10 0.8 0.1 1.4 5.661405546081647 0.011584540717750173
10 0.8 0.1 1.6 5.572283014072213 0.012901829875655569
10 0.8 0.1 1.8 5.517484864676578 0.015315344217625516
10 0.8 0.1 2.0 5.452764023712801 0.017377111955636945
10 0.8 0.1 2.2 5.399596232182496 0.017687019073911785
10 0.8 0.1 2.4 5.408242406195439 0.018915520842521048
10 0.8 0.1 2.6 5.412203027871961 0.019141824651735397
10 0.8 0.1 2.8 5.3678604679021245 0.02005966720448565
10 0.8 0.1 3.0 5.387971620026066 0.020032359452229604
10 0.8 0.3 0.0 4.832305742696752 0.006253711372239444
